P. Name,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. SFlux Mean (EU),P. Teq Mean (K),P. Mag,P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,S. Mass (SU),S. Radius (SU),S. Teff (K),S. RA (hrs),S. DEC (deg),S. No. Planets,S. No. Planets HZ,P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
CoRoT-9 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,267.07,10.53,0.23,2.41,4.8341769999999995,376.5,-24.04,95.27,0.407,0.13,0.99,0.94,5625.0,18.7192,6.2042,1,0,-1.58,6.79,3.27,0.11,0.25,0,0,1,Primary Transit,2010.0
CoRoT-10 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,874.34,10.86,0.68,7.41,39.35395,600.8,-26.56,13.24,0.1055,0.53,0.89,0.79,5075.0,19.4042,0.7461,1,0,-2.09,7.28,5.0,0.1,0.11,0,0,1,Primary Transit,2010.0
CoRoT-11 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,740.8,16.02,0.18,2.89,1418.954,1563.6,-31.14,2.99,0.0435,0.0,1.27,1.36,6343.0,18.7125,5.9378,1,0,-2.45,12.0,1.6,0.07,0.06,0,0,1,Primary Transit,2010.0
CoRoT-12 b,Hot,Jovian,gas,metals-rich,non-habitable,291.55,16.13,0.07,1.12,720.3788,1318.7,-30.42,2.83,0.0402,0.07,1.08,1.12,5675.0,6.7178,-1.2964,1,0,-2.4,12.09,0.53,0.07,0.06,0,0,1,Primary Transit,2010.0
CoRoT-13 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,415.87,9.91,0.43,4.23,439.5414,1166.5,-28.82,4.04,0.051,0.0,1.09,1.01,5945.0,6.8481,-5.0864,1,0,-2.39,6.07,1.94,0.13,0.09,0,0,1,Primary Transit,2010.0
CoRoT-14 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,2416.34,12.21,1.33,16.21,2390.243,1781.4,-31.12,1.51,0.027,0.0,1.13,1.21,6035.0,6.895,-5.5361,1,0,-2.45,10.87,4.71,0.08,0.07,0,0,1,Primary Transit,2010.0
CoRoT-15 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,20157.4,12.54,10.21,128.1,1405.497,1559.9,-30.6,3.06,0.045,0.0,1.3,1.06,7300.0,6.4744,6.1862,1,0,-2.47,46.94,17.89,0.02,0.07,0,0,1,Primary Transit,2010.0
CoRoT-16 b,Hot,Jovian,gas,metals-rich,non-habitable,170.1,13.1,0.08,0.99,359.1192,1085.5,-29.27,5.35,0.0618,0.33,1.1,1.19,5650.0,18.5683,-6.0025,1,0,-2.36,9.73,0.35,0.09,0.07,0,0,1,Primary Transit,2010.0
CoRoT-17 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,772.59,11.42,0.52,5.92,1158.59,1486.4,-30.18,3.77,0.0461,0.0,1.04,1.59,5740.0,18.5797,-6.6122,1,0,-2.41,7.7,2.39,0.11,0.08,0,0,1,Primary Transit,2010.0
CoRoT-18 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,1103.25,14.67,0.35,5.13,905.8071,1396.0,-30.47,1.9,0.0295,0.08,0.95,1.0,5440.0,6.5447,0.0314,1,0,-2.39,11.26,2.75,0.08,0.06,0,0,1,Primary Transit,2011.0
CoRoT-19 b,Hot,Jovian,gas,metals-rich,non-habitable,352.91,14.45,0.12,1.69,1253.567,1515.3,-30.78,3.9,0.0518,0.05,1.21,1.65,6090.0,6.4689,0.1706,1,0,-2.44,10.38,0.72,0.09,0.06,0,0,1,Primary Transit,2011.0
CoRoT-20 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,1348.07,9.41,1.62,15.23,134.8913,810.2,-27.62,9.24,0.0902,0.56,1.14,0.92,5880.0,6.5154,0.2269,1,0,-2.29,6.42,5.94,0.1,0.1,0,0,1,Primary Transit,2011.0
CoRoT-21 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,718.54,14.56,0.23,3.39,2884.188,1867.0,-31.71,2.72,0.0417,0.0,1.29,1.95,6200.0,6.7368,-0.2991,1,0,-2.46,10.6,1.41,0.08,0.06,0,0,1,Primary Transit,2011.0
CoRoT-22 b,Hot,Neptunian,gas,metals-rich,non-habitable,12.2,4.88,0.11,0.51,170.6929,919.8,-26.24,9.76,0.092,0.08,1.1,1.14,5939.0,18.7111,6.225,1,0,-2.33,4.45,-0.72,0.16,0.16,0,0,1,Primary Transit,2011.0
CoRoT-23 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,890.23,12.1,0.5,6.08,1254.713,1508.9,-30.41,3.63,0.0477,0.16,1.14,1.61,5900.0,18.6522,4.3578,1,0,-2.43,8.47,2.52,0.1,0.07,0,0,1,Primary Transit,2011.0
CoRoT-24 b,Hot,Superterran,gas,metals-rich,non-habitable,5.72,3.7,0.11,0.42,127.0374,855.3,-25.31,5.11,0.056,0.0,0.91,0.86,4950.0,6.795,-3.7194,2,0,-2.25,3.79,-0.91,0.18,0.19,0,0,1,Primary Transit,2011.0
CoRoT-24 c,Hot,Neptunian,gas,metals-rich,non-habitable,27.98,4.93,0.23,1.15,41.48158,646.6,-24.72,11.76,0.098,0.0,0.91,0.86,4950.0,6.795,-3.7194,2,0,-2.13,3.15,0.08,0.21,0.18,0,0,1,Primary Transit,2011.0
CoRoT-25 b,Hot,Jovian,gas,metals-rich,non-habitable,85.84,12.1,0.05,0.59,506.1459,1208.4,-29.41,4.86,0.0578,0.0,1.09,1.19,6040.0,18.7086,6.5139,1,0,-2.4,9.82,-0.25,0.09,0.08,0,0,1,Primary Transit,2012.0
CoRoT-26 b,Hot,Jovian,gas,metals-rich,non-habitable,165.33,14.11,0.06,0.83,1014.546,1437.8,-30.5,4.2,0.0526,0.0,1.09,1.79,5590.0,18.65,6.97,1,0,-2.4,10.78,0.02,0.08,0.06,0,0,1,Primary Transit,2012.0
CoRoT-27 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,3303.4,11.28,2.3,25.97,560.8555,1238.8,-29.37,3.58,0.0476,0.07,1.05,1.08,5900.0,18.5664,5.5386,1,0,-2.4,11.16,7.66,0.07,0.08,0,0,1,Primary Transit,2012.0
CoRoT-28 b,Hot,Jovian,gas,metals-rich,non-habitable,153.88,10.7,0.13,1.35,575.0889,1247.1,-29.28,5.21,0.059,0.05,1.01,1.78,5150.0,18.5792,5.5739,1,0,-2.35,7.43,0.35,0.11,0.08,0,0,1,Primary Transit,2012.0
CoRoT-29 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,270.25,10.08,0.26,2.66,366.9896,1113.7,-28.66,2.85,0.039,0.08,0.98,0.9,5260.0,18.5936,6.4797,1,0,-2.34,6.35,1.27,0.13,0.09,0,0,1,Primary Transit,2012.0
CoRoT-30 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,902.95,11.42,0.61,6.92,108.0663,821.4,-27.6,9.06,0.084,0.01,0.98,0.91,5660.0,18.5067,6.8358,1,0,-2.28,7.85,4.27,0.1,0.09,0,0,1,Primary Transit,2017.0
CoRoT-31 b,Hot,Jovian,gas,metals-rich,non-habitable,267.07,16.35,0.06,1.0,1004.513,1434.2,-30.81,4.63,0.0586,0.02,1.25,2.15,5370.0,6.3214,-4.4222,1,0,-2.38,12.38,0.33,0.07,0.06,0,0,1,Primary Transit,2017.0
CoRoT-32 b,Hot,Neptunian,gas,metals-rich,non-habitable,47.69,6.38,0.18,1.17,141.0992,878.1,-26.62,6.72,0.071,0.0,1.09,0.79,5970.0,6.6797,9.2575,1,0,-2.32,4.27,0.05,0.17,0.13,0,0,1,Primary Transit,2017.0
CoRoT-33 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,18822.05,12.32,10.07,124.01,176.6853,928.0,-28.3,5.82,0.0579,0.07,0.86,0.94,5225.0,18.6428,5.6247,1,0,-2.29,42.8,23.06,0.02,0.08,0,0,1,Primary Transit,2015.0
CT Cha b,Cold,Jovian,gas,hydrogen-rich,non-habitable,5404.98,24.64,0.36,8.9,1.585121e-06,9.0,-9.6,,440.0,0.0,,0.7,5150.0,11.0692,-76.4553,1,0,1453.04,34.29,93.5,0.0,0.04,0,0,1,Imaging,2008.0
CVSO 30 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,1971.23,21.39,0.2,4.31,4829.673,2123.9,-33.11,0.45,0.0084,0.0,0.39,1.39,3740.0,5.4189,1.5733,1,0,-2.26,19.95,2.3,0.05,0.04,0,0,1,Primary Transit,2012.0
DE0823-49 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,10015.11,10.21,9.4,96.04,0.001519336,49.0,-15.24,247.75,0.36,0.36,0.04,0.1,2150.0,8.3842,-48.7997,1,0,36.18,19.58,82.9,0.01,0.04,0,0,1,Imaging,2013.0
DH Tau b,Cold,Jovian,gas,hydrogen-rich,non-habitable,3497.34,11.52,2.29,26.36,2.145675e-07,5.5,-5.75,,330.0,0.0,0.37,0.35,3840.0,4.495,26.5494,1,0,3418.02,11.75,142.13,0.0,0.06,0,0,1,Imaging,2005.0
DP Leo b,Cold,Jovian,gas,hydrogen-rich,non-habitable,1923.54,11.68,1.21,14.09,0.00366993,60.8,-16.51,10230.0,8.19,0.39,0.69,0.17,9790.0,11.2878,17.9614,1,0,36.26,9.54,29.27,0.02,0.08,0,0,1,Pulsar,2009.0
DW Lyn b,,Jovian,gas,,non-habitable,1774.11,11.68,1.11,13.0,,,,,1148.0,0.0,,,,7.1194,60.6473,1,0,,9.31,,,,0,0,1,Radial Velocity,2013.0
DW Uma b,Cold,Jovian,gas,hydrogen-rich,non-habitable,3198.48,11.57,2.07,23.91,0.03693274,111.7,-18.92,4967.0,5.8,0.0,1.06,2.53,3840.0,10.5647,58.7819,1,0,5.95,11.35,28.69,0.03,0.1,0,0,1,Other,2016.0
EPC 212069861 b,Hot,Neptunian,gas,metals-rich,non-habitable,3.57,2.65,0.19,0.51,2.6463240000000003,324.9,-20.37,30.95,0.1641,0.0,0.61,0.59,3880.0,8.9629,21.4536,1,0,-1.32,2.44,-0.49,0.26,0.55,0,0,1,Primary Transit,2017.0
EPIC-206011691 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,4.31,1.59,1.07,1.7,16.15,510.7,-21.22,9.32,0.0731,0.0,0.64,0.6,4043.0,22.6869,-14.489,2,0,-1.91,-0.15,-0.32,0.34,0.35,0,0,1,Primary Transit,2015.0
EPIC-206011691 c,Hot,Superterran,rocky-iron,metals-rich,non-habitable,8.68,1.92,1.24,2.37,8.198087,431.1,-20.89,15.5,0.1026,0.0,0.64,0.6,4043.0,22.6869,-14.489,2,0,-1.75,-0.14,0.25,0.36,0.4,0,0,1,Primary Transit,2015.0
EPIC-210490365 b,Hot,Neptunian,gas,metals-rich,non-habitable,7.97,3.43,0.2,0.68,9.273277,438.4,-22.33,3.48,0.0299,0.27,0.29,0.29,3180.0,4.2183,15.2478,1,0,-1.72,2.7,-0.34,0.24,0.31,0,0,1,Primary Transit,2015.0
EPIC 201128338 b,Hot,Neptunian,gas,metals-rich,non-habitable,4.29,2.81,0.19,0.54,2.8597919999999997,331.3,-20.58,32.65,0.1735,0.0,0.65,0.63,3940.0,12.1089,-5.8274,1,0,-1.35,2.48,-0.42,0.26,0.52,0,0,1,Primary Transit,2017.0
EPIC 201295312 b,Hot,Neptunian,rocky-water,metals-rich,non-habitable,12.05,2.74,0.58,1.6,576.2495,1244.9,-26.32,5.66,0.0647,0.12,1.13,1.52,5830.0,11.6008,-2.5208,1,0,-2.4,0.96,-0.58,0.27,0.22,0,0,1,Primary Transit,2016.0
EPIC 201445392 c,Hot,Superterran,rocky-iron,metals-rich,non-habitable,22.64,2.41,1.62,3.9,251.914,1015.0,-25.12,2.51,0.0334,0.0,0.79,0.74,4890.0,11.3196,-0.2844,1,0,-2.29,-0.12,0.13,0.3,0.24,0,0,1,Primary Transit,2015.0
EPIC 201498078 b,Hot,Jovian,gas,metals-rich,non-habitable,70.9,9.52,0.08,0.78,240.9814,973.6,-28.16,11.63,0.102,0.39,1.1,1.67,5513.0,11.8689,0.4933,1,0,-2.32,7.31,-0.08,0.12,0.09,0,0,1,Primary Transit,2018.0
EPIC 201598502 b,Cold,Superterran,rocky-iron,hydrogen-rich,non-habitable,10.17,1.99,1.28,2.56,0.1165529,148.9,-16.33,7.52,0.601,0.0,0.51,0.49,3720.0,12.2539,2.021,1,0,2.31,-0.13,1.85,0.25,0.39,0,0,1,Primary Transit,2017.0
EPIC 201637175 b,Hot,Neptunian,rocky-iron,hydrogen-rich,non-habitable,445.12,2.8,20.28,56.78,809.9708,1359.1,-26.73,0.38,0.0088,0.0,0.6,0.57,3830.0,11.2989,2.6186,1,0,-2.23,-0.6,4.88,0.16,0.22,0,0,1,Primary Transit,2015.0
EPIC 201713348 b,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,2.23,1.32,0.97,1.28,547.1145,1232.2,-24.66,1.42,0.023,0.0,0.8,0.74,4924.0,11.2967,3.8664,2,0,-2.33,-0.16,-1.01,0.28,0.29,0,0,1,Primary Transit,2015.0
EPIC 201713348 c,Hot,Neptunian,gas,metals-rich,non-habitable,4.24,2.8,0.19,0.54,93.7765,792.8,-24.37,5.34,0.0555,0.0,0.8,0.74,4924.0,11.2967,3.8664,2,0,-2.22,2.48,-0.89,0.23,0.23,0,0,1,Primary Transit,2015.0
EPIC 203826436 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,4.54,1.61,1.08,1.74,213.617,974.0,-24.07,4.44,0.051,0.0,0.9,0.85,5413.0,16.23,-24.7869,3,0,-2.32,-0.15,-0.69,0.29,0.28,0,0,1,Primary Transit,2015.0
EPIC 203826436 c,Hot,Neptunian,gas,metals-rich,non-habitable,3.97,2.74,0.19,0.53,130.448,861.0,-24.69,6.43,0.0653,0.0,0.9,0.85,5413.0,16.23,-24.7869,3,0,-2.28,2.46,-0.94,0.22,0.23,0,0,1,Primary Transit,2015.0
EPIC 203826436 d,Hot,Neptunian,gas,metals-rich,non-habitable,3.92,2.73,0.19,0.52,45.814890000000005,662.8,-23.54,14.09,0.1102,0.0,0.9,0.85,5413.0,16.23,-24.7869,3,0,-2.17,2.46,-0.83,0.23,0.25,0,0,1,Primary Transit,2015.0
EPIC 204221263 b,Hot,Terran,rocky-iron,metals-rich,non-habitable,3.88,1.55,1.05,1.63,466.4485,1184.0,-24.83,4.02,0.0506,0.0,1.07,1.1,5757.0,16.0022,-23.1892,2,0,-2.38,-0.15,-0.84,0.28,0.28,0,0,1,Primary Transit,2016.0
EPIC 204221263 c,Hot,Superterran,rocky-iron,metals-rich,non-habitable,23.12,2.42,1.63,3.95,128.5021,857.8,-24.4,10.56,0.0963,0.0,1.07,1.1,5757.0,16.0022,-23.1892,2,0,-2.3,-0.11,0.31,0.3,0.24,0,0,1,Primary Transit,2016.0
EPIC 210894022 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,8.58,1.9,1.24,2.37,379.4332,1124.4,-25.06,5.35,0.0621,0.0,0.89,1.23,5730.0,3.9927,21.2987,1,0,-2.37,-0.15,-0.51,0.29,0.26,0,0,1,Radial Velocity,2017.0
EPIC 211331236 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,10.88,2.03,1.31,2.65,121.9863,846.7,-23.96,1.29,0.0188,0.0,0.53,0.51,3676.0,8.9237,10.4691,2,0,-2.13,-0.13,-0.19,0.32,0.26,0,0,1,Primary Transit,2017.0
EPIC 211331236 c,Hot,Superterran,rocky-iron,metals-rich,non-habitable,9.09,1.94,1.25,2.42,17.883960000000002,523.9,-21.76,5.44,0.0491,0.0,0.53,0.51,3676.0,8.9237,10.4691,2,0,-1.9,-0.14,0.1,0.34,0.33,0,0,1,Primary Transit,2017.0
EPIC 211391664 b,Hot,Neptunian,gas,metals-rich,non-habitable,32.11,4.26,0.42,1.77,243.2638,1006.2,-26.33,10.14,0.0943,0.0,1.07,1.31,6120.0,8.4326,11.5111,1,0,-2.37,2.08,-0.06,0.24,0.17,0,0,1,Primary Transit,2016.0
EPIC 211418729 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,588.19,10.55,0.5,5.28,45.3294,661.1,-26.48,11.39,0.0931,0.0,0.83,0.83,5027.0,8.5255,11.9223,1,0,-2.14,6.72,3.88,0.11,0.11,0,0,1,Primary Transit,2017.0
EPIC 211442297 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,267.07,12.49,0.14,1.71,35.951609999999995,621.6,-26.6,20.27,0.1367,0.14,0.83,0.88,5560.0,8.4369,12.2819,1,0,-2.14,8.67,1.85,0.1,0.1,0,0,1,Primary Transit,2017.0
EPIC 211822797 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,16.46,2.24,1.46,3.28,4.462212,368.0,-20.58,21.17,0.127,0.18,0.61,0.59,3880.0,8.694,17.64,1,0,-1.53,-0.12,0.99,0.35,0.48,0,0,1,Primary Transit,2016.0
EPIC 211913977 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,10.64,2.02,1.3,2.62,21.85776,549.8,-22.07,14.68,0.1089,0.1,0.8,0.73,4819.0,8.6896,18.9339,1,0,-2.01,-0.13,0.16,0.33,0.31,0,0,1,Primary Transit,2016.0
EPIC 211924657 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,16.46,2.24,1.46,3.28,20.39376,541.4,-22.22,2.64,0.0266,0.0,0.36,0.35,3385.0,8.6685,19.0929,1,0,-1.91,-0.12,0.52,0.34,0.3,0,0,1,Primary Transit,2017.0
EPIC  211945201 b,Hot,Neptunian,gas,metals-rich,non-habitable,27.02,6.12,0.12,0.72,102.7904,811.2,-26.18,19.49,0.148,0.0,1.18,1.38,6025.0,9.105,19.4022,1,0,-2.29,4.82,-0.3,0.16,0.14,0,0,1,Primary Transit,2018.0
EPIC 211969807 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,8.48,1.9,1.23,2.34,62.30619,711.4,-23.1,1.97,0.0246,0.18,0.51,0.48,3660.0,8.6425,19.7738,1,0,-2.07,-0.14,-0.21,0.32,0.28,0,0,1,Primary Transit,2016.0
EPIC 211970147 b,Hot,Terran,rocky-iron,metals-rich,non-habitable,2.37,1.34,0.97,1.31,32.237320000000004,605.9,-21.61,9.92,0.0828,0.1,0.77,0.71,4695.0,8.6704,19.7788,1,0,-2.07,-0.16,-0.69,0.31,0.33,0,0,1,Primary Transit,2016.0
EPIC 211990866 b,Hot,Neptunian,gas,no-atmosphere,non-habitable,8.29,3.47,0.2,0.69,2160.8289999999997,1717.9,-28.3,1.67,0.0291,0.24,1.18,1.19,6120.0,8.6401,20.1061,1,0,-2.45,2.72,-1.02,0.21,0.19,0,0,1,Primary Transit,2016.0
EPIC 212006344 b,Hot,Terran,rocky-iron,metals-rich,non-habitable,1.7,1.22,0.93,1.14,94.01603,793.3,-22.57,2.22,0.0288,0.0,0.64,0.61,3903.0,8.4318,20.3596,1,0,-2.13,-0.17,-0.92,0.3,0.3,0,0,1,Primary Transit,2017.0
EPIC 213715787 b,Hot,Terran,rocky-iron,metals-rich,non-habitable,2.58,1.38,0.99,1.36,198.0276,955.7,-23.64,0.96,0.0159,0.0,0.58,0.55,3672.0,19.5889,-28.4978,1,0,-2.16,-0.16,-0.87,0.3,0.29,0,0,1,Primary Transit,2017.0
EPIC 216468514 b,Hot,Jovian,gas,metals-rich,non-habitable,267.07,16.13,0.06,1.03,1631.235,1619.1,-31.31,3.31,0.048,0.0,1.3,1.78,6030.0,18.999,-22.2934,1,0,-2.44,12.17,0.23,0.07,0.06,0,0,1,Primary Transit,2016.0
EPIC 219388192 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,11604.81,10.49,10.04,105.37,310.6572,1062.0,-28.58,5.29,0.0593,0.19,0.99,1.01,5850.0,19.2928,-16.8717,1,0,-2.37,22.79,17.88,0.03,0.09,0,0,1,Primary Transit,2016.0
EPIC 220194974 b,Hot,Terran,rocky-iron,metals-rich,non-habitable,2.3,1.33,0.97,1.29,48.131240000000005,671.0,-22.03,4.38,0.0454,0.0,0.65,0.63,4079.0,0.9679,-0.1932,3,0,-2.08,-0.16,-0.75,0.31,0.31,0,0,1,Primary Transit,2017.0
EPIC 220194974 c,Hot,Superterran,rocky-iron,metals-rich,non-habitable,5.82,1.72,1.13,1.95,26.14432,576.1,-21.92,6.92,0.0616,0.0,0.65,0.63,4079.0,0.9679,-0.1932,3,0,-2.0,-0.15,-0.25,0.33,0.32,0,0,1,Primary Transit,2017.0
EPIC 220194974 d,Hot,Superterran,rocky-iron,metals-rich,non-habitable,4.77,1.64,1.09,1.78,16.55987,513.9,-21.31,9.76,0.0774,0.0,0.65,0.63,4079.0,0.9679,-0.1932,3,0,-1.92,-0.15,-0.27,0.34,0.35,0,0,1,Primary Transit,2017.0
EPIC 220504338 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,406.96,10.19,0.38,3.92,298.2327,1058.7,-28.46,5.82,0.0575,0.0,1.01,1.05,5627.0,1.2967,6.7022,1,0,-2.35,6.34,2.02,0.12,0.09,0,0,1,Primary Transit,2016.0
EPIC 220522664 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,4.77,1.64,1.09,1.78,8.264899,432.0,-20.55,11.33,0.083,0.0,0.59,0.57,3745.0,0.6548,7.2771,1,0,-1.73,-0.15,-0.14,0.36,0.42,0,0,1,Primary Transit,2017.0
EPIC 220598331 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,10.17,1.99,1.28,2.56,4.836930000000001,377.8,-20.4,10.59,0.0727,0.0,0.46,0.44,3499.0,1.2229,8.9875,1,0,-1.56,-0.13,0.52,0.38,0.48,0,0,1,Primary Transit,2017.0
EPIC 220621087 b,Hot,Terran,rocky-iron,metals-rich,non-habitable,2.37,1.34,0.97,1.31,20.472720000000002,541.9,-21.11,3.84,0.0365,0.0,0.44,0.43,3585.0,1.287,9.5014,1,0,-1.92,-0.16,-0.63,0.33,0.35,0,0,1,Primary Transit,2017.0
EPIC 228735255 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,323.98,12.26,0.18,2.15,257.586,1017.9,-28.71,6.57,0.0591,0.12,1.0,0.99,5654.0,12.5425,-9.6076,1,0,-2.34,8.35,1.38,0.1,0.08,0,0,1,Primary Transit,2017.0
EPIC 228754001 b,Hot,Jovian,gas,metals-rich,non-habitable,157.38,12.2,0.09,1.06,1068.628,1433.0,-30.29,9.17,0.0916,0.29,1.19,4.11,4878.0,12.1444,-8.7472,1,0,-2.34,8.92,0.08,0.1,0.07,0,0,1,Primary Transit,2017.0
EPIC 228934525 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,16.11,2.23,1.45,3.24,56.848369999999996,699.6,-23.33,3.68,0.0408,0.0,0.67,0.65,3978.0,12.6001,-2.6695,2,0,-2.09,-0.12,0.24,0.32,0.27,0,0,1,Primary Transit,2017.0
EPIC 228934525 c,Hot,Superterran,rocky-iron,metals-rich,non-habitable,12.42,2.09,1.35,2.83,20.28602,540.7,-22.07,7.95,0.0683,0.0,0.67,0.65,3978.0,12.6001,-2.6695,2,0,-1.95,-0.13,0.29,0.34,0.31,0,0,1,Primary Transit,2017.0
EPIC 246911830 b,Hot,Jovian,gas,metals-rich,non-habitable,451.47,17.38,0.09,1.49,2580.12,1815.7,-31.97,2.63,0.0404,0.0,1.39,1.69,6367.0,5.1244,16.8675,1,0,-2.47,13.08,0.58,0.07,0.05,0,0,1,Primary Transit,2018.0
EPIC 248435473 b,Hot,Neptunian,gas,no-atmosphere,non-habitable,4.74,2.9,0.19,0.56,703.5461,1312.1,-26.65,0.66,0.0128,0.0,0.67,0.65,4184.0,10.529,0.9376,2,0,-2.26,2.51,-1.05,0.22,0.22,0,0,1,Radial Velocity,2018.0
EPIC 248435473 c,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,0.2,0.64,0.78,0.5,26.02189,575.2,-19.74,7.81,0.0667,0.04,0.67,0.65,4184.0,10.529,0.9376,2,0,-2.0,-0.19,-1.28,0.3,0.33,0,0,1,Radial Velocity,2018.0
EPIC 248545986 b,Hot,Terran,rocky-iron,metals-rich,non-habitable,1.4,1.1,1.06,1.16,8.179411,430.8,-19.67,5.24,0.0441,0.0,0.4,0.36,3420.0,10.7064,4.4414,3,0,-1.71,-0.33,-0.68,0.35,0.45,0,0,1,Primary Transit,2018.0
EPIC 248545986 c,Hot,Terran,rocky-iron,metals-rich,non-habitable,0.89,1.0,0.9,0.9,4.794621,377.0,-18.88,7.78,0.0576,0.0,0.4,0.36,3420.0,10.7064,4.4414,3,0,-1.55,-0.21,-0.79,0.36,0.54,0,0,1,Primary Transit,2018.0
EPIC 248545986 d,Hot,Terran,rocky-iron,metals-rich,non-habitable,1.3,1.1,0.99,1.08,3.3901440000000003,345.7,-18.71,10.12,0.0685,0.0,0.4,0.36,3420.0,10.7064,4.4414,3,0,-1.42,-0.26,-0.6,0.39,0.61,0,0,1,Primary Transit,2018.0
EPIC 249622103 b,Hot,Terran,rocky-iron,metals-rich,non-habitable,2.71,1.4,0.99,1.39,271.7266,1034.4,-24.02,2.47,0.0332,0.0,0.8,0.74,4950.0,15.3653,-20.2317,3,0,-2.3,-0.16,-0.89,0.29,0.29,0,0,1,Primary Transit,2018.0
EPIC 249622103 c,Hot,Terran,rocky-iron,metals-rich,non-habitable,2.3,1.33,0.97,1.3,66.85909000000001,728.5,-22.39,,0.0669,0.0,0.8,0.74,4950.0,15.3653,-20.2317,3,0,-2.19,-0.16,-0.79,0.3,0.31,0,0,1,Primary Transit,2018.0
EPIC 249622103 d,Hot,Neptunian,gas,metals-rich,non-habitable,3.49,2.64,0.19,0.5,12.82168,482.1,-22.07,24.37,0.1527,0.0,0.8,0.74,4950.0,15.3653,-20.2317,3,0,-1.91,2.43,-0.72,0.24,0.32,0,0,1,Primary Transit,2018.0
EPIC 249801827 b,Hot,Superterran,rocky-iron,hydrogen-rich,non-habitable,1589.7,1.99,200.63,399.98,20.948,545.0,-22.0,6.03,0.0513,0.0,0.58,0.54,3810.0,15.19,17.8753,2,0,-1.94,-0.87,21.65,0.04,0.32,0,0,1,Primary Transit,2018.0
EPIC 249801827 c,Hot,Terran,rocky-water,metals-rich,non-habitable,4.61,1.8,0.79,1.42,4.104029,362.6,-20.0,20.52,0.1159,0.0,0.58,0.54,3810.0,15.19,17.8753,2,0,-1.51,0.24,-0.11,0.4,0.52,0,0,1,Primary Transit,2018.0
eps CrB b,Hot,Jovian,gas,hydrogen-rich,non-habitable,2130.2,11.68,1.34,15.62,88.76941,780.2,-27.44,417.9,1.3,0.11,1.7,21.0,4406.0,15.9597,26.8778,1,0,-2.17,9.84,7.6,0.07,0.08,0,0,1,Radial Velocity,2012.0
eps Eridani b,Cold,Jovian,gas,hydrogen-rich,non-habitable,982.43,11.58,0.63,7.33,0.06016912,111.8,-19.82,2502.0,3.39,0.7,0.83,0.9,5116.0,3.5486,-9.4581,1,0,7.06,8.09,13.47,0.05,0.15,0,0,1,Radial Velocity,2000.0
eps Ind A b,Cold,Jovian,gas,hydrogen-rich,non-habitable,861.62,11.5,0.57,6.51,0.001041508,45.8,-15.01,19205.51,12.82,0.01,0.76,0.52,5150.0,22.0561,-56.7861,1,0,54.36,7.87,23.0,0.02,0.09,0,0,1,Radial Velocity,2018.0
eps Tau b,Hot,Jovian,gas,hydrogen-rich,non-habitable,2333.68,11.67,1.47,17.15,27.225209999999997,579.4,-26.15,594.9,1.9,0.15,2.7,13.7,4901.0,4.4769,19.1806,1,0,-2.06,10.14,9.59,0.07,0.1,0,0,1,Radial Velocity,2007.0
